Episode Number,Fossbot Init Positions,Goal Positions,Fossbot Trajectory
1,"(5, 23)","(25, 9)","[(5, 23), (5, 23), (5, 23), (5, 23), (6, 22), (7, 21), (8, 20), (9, 19), (10, 18), (11, 17), (12, 16), (13, 15), (14, 14), (15, 13), (16, 12), (16, 12), (16, 12), (16, 12), (17, 12), (18, 12), (18, 12), (18, 12), (18, 12), (19, 13), (19, 13), (19, 13), (19, 13), (20, 13), (21, 13), (21, 13), (22, 12), (23, 11), (23, 11), (24, 11), (24, 11), (25, 10), (25, 10), (25, 9)]"
2,"(5, 13)","(25, 11)","[(5, 13), (5, 12), (5, 11), (5, 11), (6, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (17, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (22, 10), (23, 10), (23, 10), (24, 11), (24, 11), (24, 11), (24, 11), (25, 11)]"
3,"(5, 21)","(25, 24)","[(5, 21), (6, 21), (6, 21), (6, 21), (7, 21), (8, 21), (9, 21), (9, 21), (9, 21), (10, 21), (11, 21), (12, 21), (12, 21), (13, 20), (13, 20), (14, 20), (15, 20), (16, 20), (17, 20), (18, 20), (19, 20), (20, 20), (21, 20), (21, 20), (22, 21), (23, 22), (24, 23), (25, 24)]"
4,"(5, 23)","(25, 19)","[(5, 23), (6, 24), (6, 24), (6, 24), (6, 24), (7, 24), (7, 24), (7, 24), (7, 24), (8, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (15, 25), (16, 25), (17, 25), (18, 25), (19, 25), (19, 25), (20, 24), (21, 23), (22, 22), (23, 21), (24, 20), (25, 19)]"
5,"(5, 13)","(25, 20)","[(5, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (11, 13), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (18, 13), (18, 13), (18, 13), (19, 14), (20, 15), (21, 16), (22, 17), (23, 18), (24, 19), (25, 20)]"
6,"(5, 11)","(25, 13)","[(5, 11), (5, 11), (5, 11), (6, 10), (6, 10), (6, 10), (7, 11), (8, 12), (9, 13), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (21, 13), (21, 13), (22, 13), (23, 13), (24, 13), (25, 13)]"
7,"(5, 9)","(25, 10)","[(5, 9), (6, 9), (7, 9), (8, 9), (8, 9), (9, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (22, 10), (23, 10), (23, 10), (24, 11), (24, 11), (24, 11), (25, 10)]"
8,"(5, 13)","(25, 20)","[(5, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (18, 13), (19, 14), (20, 15), (21, 16), (22, 17), (23, 18), (24, 19), (25, 20)]"
9,"(5, 12)","(25, 24)","[(5, 12), (6, 13), (7, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (14, 14), (14, 14), (14, 15), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (23, 24), (24, 24), (25, 24)]"
10,"(5, 6)","(25, 17)","[(5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (12, 6), (13, 7), (14, 8), (15, 9), (16, 10), (17, 11), (18, 12), (19, 13), (20, 14), (21, 15), (22, 16), (23, 17), (23, 17), (23, 17), (23, 17), (24, 17), (25, 17)]"
