Step,DQN-30x30-new - reward,PPO-30x30-new - reward
0,-12.49707089,-37.23502558
1,-12.43880433,-27.21340315
2,-16.39077957,-29.25957754
3,-11.41666368,64.86477896
4,-12.93365719,64.5163499
5,-35.53252007,-32.25034133
6,-41.10380718,169.853023
7,-46.57246763,-28.87274888
8,-38.88711141,171.3171033
9,-45.08447203,275.9718325
10,68.60269126,69.7049221
11,-29.34834659,280.0279331
12,-39.05463786,281.2954949
13,-26.4037202,788.4072024
14,-32.34445191,587.2595913
15,-33.26631372,891.5163451
16,-28.90634868,790.5419058
17,-53.17808678,891.5716743
18,-39.87827942,993.0188663
19,171.5081417,789.8358182
20,182.8304748,892.0879398
21,586.9109826,892.843958
22,487.3778617,993.7374427
23,-18.6764184,790.0031016
24,-17.5320788,994.1687902
25,488.2096725,792.4259979
26,588.6674301,791.4588938
27,689.8659142,892.1160316
28,691.8894062,994.2163866
29,385.0084498,893.7926573
30,992.5763184,791.1811379
31,689.2041735,892.5994962
32,993.9959512,993.867475
33,589.1780952,893.7435054
34,791.5687906,994.0365086
35,991.5569051,791.343983
36,992.2422031,893.3500237
37,686.8039528,993.6543327
38,990.1782667,182.2737778
39,993.3950335,892.6501283
40,889.1117332,892.8196188
41,787.7677975,892.9864408
42,587.4440491,993.9696474
43,379.8575436,-25.52019048
44,71.36122028,991.1767298
45,685.181323,-65.90550187
46,170.8385239,-53.92703921
47,67.15326086,-45.08401647
48,63.03667595,-34.85775491
49,481.658037,73.60824618
50,-38.6864457,73.30655899
51,67.91471226,73.28953952
52,174.233369,78.29918029
53,483.7511762,175.9972826
54,279.8427489,383.8887146
55,682.7483492,383.6355107
56,278.6560774,487.1574775
57,681.685325,789.9021627
58,179.3647328,789.891719
59,687.5997402,892.2224081
60,890.0806958,791.299687
61,677.681628,994.1097595
62,780.6909382,992.7651495
63,680.9439509,993.9546832
64,588.1259502,993.5806714
65,890.3519305,993.7302245
66,681.9072373,893.1024212
67,485.02247,994.1457292
68,992.3700777,994.1329722
69,993.093933,993.5587434
70,486.6447516,993.8574826
71,688.6360123,992.8203946
72,890.156983,791.831278
73,891.6719127,893.4816451
74,689.1449579,892.7673373
75,473.2490453,892.8341448
76,274.0584401,993.9769978
77,59.97275161,887.3613917
78,67.22009107,893.6446576
79,-41.37817037,993.457246
80,60.29645525,791.9821755
81,380.0533361,892.6236912
82,272.5484292,892.686698
83,679.3843141,994.2273534
84,268.2534274,791.3837382
85,168.2822374,891.9953798
86,688.1244061,182.6854433
87,886.6167656,792.2050333
88,373.8100236,791.7812012
89,55.97051029,993.4350123
90,268.747832,993.594184
91,270.669881,892.932072
92,279.2744868,993.1438879
93,678.3624958,-44.00759147
94,786.196301,-66.84794307
95,785.1288935,-61.53186033
96,482.18432,-48.15021741
97,891.3731927,-59.13382927
98,993.3779292,-50.09547165
99,791.6071508,-33.28396035
100,892.6209154,168.7603829
101,893.1591816,373.5675156
102,993.5499205,171.5035301
103,892.8466807,174.5622774
104,994.0177582,181.1259447
105,687.802485,583.8363012
106,888.9748682,179.9383359
107,993.4807548,586.6236174
108,994.0047358,586.6869756
109,893.0664794,891.6852477
110,892.2788519,992.742474
111,993.5727041,893.3205297
112,993.2344949,892.9419646
113,992.1677292,993.6967551
114,994.291637,792.6573836
115,993.4955802,994.0007925
116,792.7503489,993.746626
117,993.7624594,791.104825
118,993.7735597,892.1103671
119,788.2194456,790.7095614
120,791.289092,993.6412772
121,993.5484781,994.0149679
122,382.9861688,892.779703
123,992.4484969,892.4363751
124,887.8957226,892.7836289
125,477.2461662,993.6672844
126,687.0638749,892.4354055
127,782.3335865,893.3547393
128,889.6596924,994.0903065
129,683.8932486,993.7316502
130,992.2513589,791.3473039
131,989.0328594,791.8242201
132,588.356241,994.0703381
133,687.2762713,994.1865628
134,586.0164027,993.4568292
135,791.0633489,994.1548428
136,686.542055,994.1135498
137,791.1709722,793.2434216
138,684.3006905,892.4439839
139,783.6634887,993.6203004
140,679.2170423,790.9654951
141,676.4150849,993.8200995
142,584.0696893,893.5453782
143,375.0043667,892.5941566
144,990.4189099,792.364919
145,576.6262329,893.8535071
146,44.59453948,993.877052
147,-63.12582614,281.8935359
148,268.9389673,994.0210254
149,259.6916109,993.8366203
150,676.0587338,993.0950214
151,787.858943,892.7250848
152,368.121273,993.4561834
153,375.8010617,791.7091221
154,989.1678691,893.1974738
155,993.2485011,993.873731
156,787.8036242,793.1029189
157,993.9203583,892.5489159
158,994.3119958,993.9552759
159,993.7501083,994.0879448
160,993.3699983,994.0061629
161,993.8661612,994.6326415
162,993.4147982,792.132601
163,993.5694237,893.431173
164,993.602189,892.3730288
165,793.0755553,993.6584597
166,993.5757616,994.1783233
167,994.0243796,993.6033932
168,994.0746198,993.9612515
169,993.7282635,994.1411383
170,993.9904294,994.0107405
171,994.2405672,-20.31566894
172,893.6360033,-17.23620932
173,993.4136671,-24.24018098
174,994.0330706,-22.88447389
175,994.0304166,-23.45488726
176,994.3759677,-24.67517533
177,994.2750403,-29.55868546
178,893.6213137,66.76273833
179,994.0595679,73.78871791
180,993.9779344,179.3096851
181,993.3570706,72.03113858
182,893.7891019,281.9606128
183,993.890578,481.5831332
184,793.427643,-36.21949048
185,893.8621982,268.2980727
186,893.9424169,-33.22686787
187,993.80235,-31.72296382
188,893.2588074,165.3484772
189,793.0782848,376.0334307
190,993.9002564,-32.30568156
191,994.1228716,274.1445656
192,992.8860717,377.0663989
193,893.4595828,272.6241031
194,993.6878261,480.4403387
195,993.5504869,480.9619693
196,993.3774665,378.7025725
197,994.1812828,275.4764455
198,893.6200248,178.9325376
199,993.362646,276.453663
200,993.8133882,483.2824356
201,893.4913417,479.7374794
202,994.4150156,277.1624258
203,994.3967511,481.3759901
204,993.489742,382.9899472
205,893.2154232,379.4533979
206,993.9400854,482.9821349
207,993.4974156,278.2253129
208,993.9775912,583.5848806
209,993.8997105,180.9137748
210,993.5055559,482.74293
211,994.3822997,789.2128703
212,893.5756897,274.4269063
213,994.3052209,382.3100506
214,994.3346062,483.3152877
215,994.5638288,279.8188696
216,994.0914827,74.38930661
217,994.3038783,276.1758213
218,994.1516805,279.7027545
219,994.002112,177.8866238
220,793.0679668,480.575348
221,993.9624826,890.2253784
222,893.9227437,990.5629676
223,993.7561836,892.6001679
224,994.3380805,893.0236694
225,994.4007645,893.643315
226,994.0694053,994.1603494
227,893.2772936,994.3289512
228,994.4981154,892.6909681
229,994.1621745,993.9252102
230,993.4717132,689.73674
231,793.1251824,893.1972022
232,993.7057353,993.9634226
233,994.2144387,792.836663
234,891.9571275,994.076202
235,994.5152248,993.636229
236,893.2486689,893.93339
237,994.1000547,893.8785857
238,891.8716616,993.9545051
239,994.4063401,993.5805127
240,994.2253683,994.2502924
241,993.891571,993.8694709
242,993.8675615,994.1216373
243,893.2867852,892.5677818
244,893.0760586,992.9929818
245,993.5533035,993.8774138
246,993.2858311,792.6157816
247,893.786478,992.8215796
248,894.1785016,386.7703125
249,893.7223061,690.1772066
250,893.3158193,993.4406962
251,994.5680424,994.2886075
252,993.6546198,893.509967
253,893.2292397,892.6126612
254,993.8852234,893.3373797
255,994.2117358,993.1607111
256,893.1743398,791.5237696
257,791.7432664,993.1419005
258,993.8053561,81.19230858
259,994.2068434,-23.49141327
260,993.8605552,-24.73420675
261,993.697737,893.0165633
262,792.9042148,892.4869502
263,993.7641472,994.0856887
264,893.2090775,892.936985
265,994.0486577,792.8256486
266,893.1304006,993.4366759
267,993.7039579,690.0776217
268,993.9708103,181.8276802
269,994.4206153,385.152181
270,893.3757497,181.394332
271,994.1237705,385.6328219
272,993.7844972,285.3179534
273,993.8933077,284.7561334
274,893.4421906,381.808753
275,993.2177482,280.278264
276,893.7665082,587.5444246
277,994.2378366,280.9298311
278,893.1124742,688.4522394
279,893.3488409,589.0797429
280,993.6907746,384.2170391
281,993.6155396,385.2416393
282,993.8526287,586.4017618
283,994.0109544,993.9076133
284,993.9275445,994.0966155
285,893.2419505,793.002241
286,993.8209575,892.3577555
287,893.0535969,993.8175797
288,792.5527043,893.4818697
289,993.779493,375.1990264
290,893.6860096,70.01908772
291,994.0967307,481.8926992
292,793.1611058,176.7944224
293,994.025576,280.1130217
294,994.3011707,481.5859135
295,993.6947071,380.0398389
296,994.0858647,79.24232506
297,993.425364,-26.30040406
298,993.9504771,79.37937697
299,994.3970093,484.8367895
300,993.9487664,584.6062603
301,893.5484517,382.7693392
302,994.0243006,176.561981
303,893.3097413,480.4832392
304,994.0190817,584.5083144
305,994.1272477,588.4462571
306,993.5980009,380.3151796
307,993.9812479,484.7912883
308,994.3514997,788.6834546
309,893.2840387,173.2688838
310,994.1497508,384.054362
311,893.321779,384.1968486
312,993.374641,587.6795012
313,893.1627257,283.843721
314,992.905769,587.3893262
315,994.0594446,481.178023
316,993.8502207,484.0604809
317,993.3848997,585.2855215
318,994.2536045,69.68454967
319,893.0824228,382.4163794
320,993.9250628,587.1021942
321,993.7048308,382.9493798
322,993.7970086,482.171879
323,993.948382,685.88103
324,893.8310098,277.6634288
325,993.5768409,-22.61163379
326,993.9916957,385.8946761
327,993.6887708,788.2641101
328,792.4327904,382.5835001
329,893.4705469,484.5360446
330,893.8417482,384.2705171
331,994.1318059,383.2238565
332,994.0754407,486.8249912
333,993.446985,384.309727
334,994.3031373,383.3553987
335,994.2040801,789.721209
336,893.4394915,789.698697
337,993.8271305,181.6535277
338,993.9194444,-25.58788136
