Episode Number,Finished,Reward,Total Steps,Total Distance
1,1,989.8179784789681,31,26.384776310850242
2,1,995.0292547903955,21,21.656854249492383
3,1,993.7237630095333,28,22.656854249492383
4,1,994.1314284875989,29,23.656854249492383
5,1,994.2919491641223,26,22.48528137423857
6,1,994.1916362456977,22,22.485281374238575
7,1,993.3239887468517,26,22.48528137423857
8,1,993.2747714687139,25,26.970562748477146
9,1,995.4490788169205,21,20.414213562373096
10,1,991.6395835056901,26,28.45584412271572
11,1,990.9915701132268,31,27.556349186104054
12,1,992.6034178100526,26,27.213203435596434
13,1,994.4400472380221,24,24.55634918610405
14,1,993.9887736663222,25,22.07106781186548
15,1,993.642961833626,26,24.72792206135786
16,1,993.7957792840898,24,23.313708498984766
17,1,991.0668841935694,31,27.55634918610405
18,1,994.7807540632784,22,24.970562748477146
19,1,994.7763641495258,23,21.242640687119284
20,1,994.4811999574304,27,22.242640687119287
21,1,990.179100567475,29,28.798989873223338
22,1,994.753875631839,23,21.242640687119287
23,1,993.6473705731332,24,23.727922061357862
24,1,995.0547827668488,22,23.313708498984763
25,1,993.9107272103429,26,22.485281374238575
26,1,995.0408074744046,22,21.65685424949238
27,1,994.1873679868877,26,22.656854249492383
28,1,994.8258315958083,25,22.485281374238575
29,1,995.1466030497104,21,23.313708498984763
30,1,993.0385021027178,25,25.142135623730958
31,1,994.3617121241987,23,21.656854249492383
32,1,994.0168229527771,26,21.656854249492383
33,1,991.0006894133985,28,29.45584412271572
34,1,993.432364102453,28,22.656854249492383
35,1,993.9654365070164,25,21.65685424949238
36,1,992.4873484447598,28,24.313708498984763
37,1,993.4515836946666,23,23.727922061357862
38,1,994.2416621260345,24,21.656854249492383
39,1,994.2101991586387,26,23.07106781186548
40,1,992.291648760438,27,27.62741699796953
41,1,992.8363563492894,27,24.727922061357862
42,1,994.3680402413011,23,23.485281374238575
43,1,992.5837192870677,27,29.041630560342625
44,0,-10.0,1,0.0
45,1,994.888138063252,22,22.07106781186548
46,1,994.8591636829078,21,22.07106781186548
47,1,993.7300197966397,26,24.970562748477146
48,1,994.4022254124284,23,22.07106781186548
49,1,994.4959191121161,23,23.72792206135786
50,1,993.3368136100471,22,27.45584412271572
51,1,992.8480173312128,25,28.45584412271572
52,1,994.931027520448,22,22.899494936611667
53,1,994.4022254124284,23,22.07106781186548
54,1,993.837336840108,22,26.213203435596434
55,1,994.9033481664956,23,21.242640687119287
56,1,994.5615783557296,23,21.656854249492383
57,1,994.0835663564503,23,24.55634918610405
58,1,992.8489417806268,25,24.142135623730958
59,1,994.7574426140636,22,22.485281374238575
60,1,994.6837970130146,21,22.485281374238575
61,1,993.4188598506153,26,22.07106781186548
62,1,994.3732510320842,22,22.07106781186548
63,1,994.1873679868877,26,22.656854249492383
64,1,993.0897753853351,25,25.970562748477146
65,1,994.7168330959976,25,21.656854249492383
66,1,993.1705143563449,24,24.970562748477146
67,1,993.6540520209819,25,21.242640687119284
68,1,994.0729917865247,25,23.89949493661167
69,1,993.1703024897724,25,25.55634918610405
