Episode Number,Fossbot Init Positions,Goal Positions,Fossbot Trajectory
1,"(5, 25)","(25, 11)","[(5, 25), (5, 25), (5, 25), (5, 25), (5, 25), (6, 25), (6, 25), (7, 24), (7, 24), (7, 23), (7, 23), (8, 22), (9, 21), (10, 20), (11, 19), (12, 18), (13, 17), (14, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 16), (20, 15), (21, 14), (22, 13), (23, 12), (24, 11), (24, 11), (25, 11)]"
2,"(5, 18)","(25, 14)","[(5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (21, 18), (22, 17), (23, 16), (24, 15), (25, 14)]"
3,"(5, 5)","(25, 8)","[(5, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5), (13, 5), (14, 5), (15, 5), (15, 5), (16, 4), (16, 4), (17, 4), (18, 4), (19, 4), (20, 4), (20, 4), (20, 4), (20, 5), (20, 5), (21, 6), (22, 7), (23, 8), (23, 8), (24, 8), (25, 8)]"
4,"(5, 8)","(25, 10)","[(5, 8), (6, 8), (7, 8), (8, 8), (8, 8), (9, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (17, 7), (18, 7), (19, 7), (20, 7), (21, 7), (22, 7), (22, 7), (23, 8), (23, 8), (23, 9), (23, 10), (23, 10), (24, 11), (24, 11), (24, 11), (25, 10)]"
5,"(5, 7)","(25, 5)","[(5, 7), (6, 6), (7, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5), (13, 5), (14, 5), (15, 5), (15, 5), (16, 4), (16, 4), (17, 4), (18, 4), (19, 4), (20, 4), (20, 4), (21, 3), (21, 3), (22, 3), (23, 3), (23, 3), (24, 4), (25, 5)]"
6,"(5, 18)","(25, 12)","[(5, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (19, 18), (20, 17), (21, 16), (22, 15), (23, 14), (24, 13), (25, 12)]"
7,"(5, 12)","(25, 16)","[(5, 12), (5, 12), (5, 12), (6, 13), (7, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (14, 14), (15, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (22, 13), (23, 14), (24, 15), (25, 16)]"
8,"(5, 9)","(25, 23)","[(5, 9), (6, 10), (7, 11), (8, 12), (9, 13), (10, 14), (10, 14), (10, 15), (10, 16), (10, 16), (11, 17), (12, 18), (13, 19), (14, 20), (15, 21), (16, 22), (17, 23), (17, 23), (18, 23), (19, 23), (20, 23), (21, 23), (22, 23), (23, 23), (24, 23), (25, 23)]"
9,"(5, 13)","(25, 14)","[(5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (23, 13), (24, 13), (24, 13), (25, 14)]"
10,"(5, 25)","(25, 6)","[(5, 25), (5, 25), (5, 25), (6, 24), (7, 23), (8, 22), (9, 21), (10, 20), (11, 19), (12, 18), (13, 17), (14, 16), (14, 16), (15, 16), (16, 16), (16, 16), (17, 15), (18, 14), (19, 13), (20, 12), (21, 11), (22, 10), (23, 9), (24, 8), (25, 7), (25, 7), (25, 6)]"
11,"(5, 13)","(25, 21)","[(5, 13), (5, 12), (5, 11), (5, 11), (6, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (11, 10), (12, 11), (13, 12), (14, 13), (14, 13), (15, 13), (16, 13), (16, 13), (17, 14), (18, 15), (19, 16), (20, 17), (21, 18), (21, 18), (21, 19), (21, 19), (22, 20), (23, 21), (23, 21), (24, 21), (25, 21)]"
12,"(5, 7)","(25, 21)","[(5, 7), (6, 7), (7, 7), (7, 7), (8, 8), (8, 8), (8, 9), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (21, 22), (22, 22), (23, 22), (24, 22), (24, 22), (25, 21)]"
13,"(5, 23)","(25, 14)","[(5, 23), (6, 22), (7, 21), (8, 20), (9, 19), (10, 18), (11, 17), (12, 16), (13, 15), (13, 15), (14, 15), (14, 15), (15, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (23, 16), (24, 15), (25, 14)]"
14,"(5, 21)","(25, 24)","[(5, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (10, 21), (11, 21), (12, 21), (12, 21), (13, 20), (13, 20), (14, 20), (15, 20), (16, 20), (17, 20), (18, 20), (19, 20), (20, 20), (20, 20), (21, 21), (22, 22), (23, 23), (24, 24), (24, 24), (25, 24)]"
