Episode Number,Fossbot Init Positions,Goal Positions,Fossbot Trajectory
1,"(5, 19)","(25, 14)","[(5, 19), (4, 19), (4, 19), (3, 20), (3, 20), (3, 21), (3, 21), (4, 22), (4, 22), (5, 22), (6, 22), (7, 22), (8, 22), (9, 22), (10, 22), (11, 22), (12, 22), (12, 22), (13, 23), (13, 23), (14, 23), (15, 23), (15, 23), (16, 22), (17, 21), (18, 20), (19, 19), (20, 18), (21, 17), (22, 16), (23, 15), (24, 14), (24, 14), (25, 14)]"
2,"(5, 7)","(25, 20)","[(5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (9, 7), (10, 8), (11, 9), (12, 10), (13, 11), (14, 12), (15, 13), (15, 13), (16, 13), (17, 13), (17, 13), (18, 14), (19, 15), (20, 16), (21, 17), (21, 17), (21, 18), (21, 19), (21, 19), (22, 20), (22, 20), (23, 20), (24, 20), (25, 20)]"
3,"(5, 5)","(25, 24)","[(5, 5), (6, 5), (6, 5), (7, 6), (8, 7), (8, 7), (8, 8), (8, 9), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (23, 24), (24, 24), (25, 24)]"
4,"(5, 5)","(25, 22)","[(5, 5), (5, 5), (6, 6), (7, 7), (8, 8), (8, 8), (8, 9), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (21, 22), (22, 22), (23, 22), (24, 22), (25, 22)]"
5,"(5, 8)","(25, 25)","[(5, 8), (6, 8), (7, 8), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (24, 25), (24, 25), (25, 25)]"
6,"(5, 5)","(25, 16)","[(5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (11, 5), (12, 6), (13, 7), (14, 8), (15, 9), (16, 10), (17, 11), (18, 12), (19, 13), (20, 14), (21, 15), (22, 16), (22, 16), (23, 16), (24, 16), (25, 16)]"
7,"(5, 12)","(25, 17)","[(5, 12), (5, 12), (6, 13), (7, 14), (7, 14), (7, 15), (7, 16), (7, 16), (8, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17)]"
8,"(5, 16)","(25, 9)","[(5, 16), (6, 16), (7, 16), (7, 16), (8, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (17, 17), (18, 16), (19, 15), (20, 14), (21, 13), (22, 12), (23, 11), (23, 11), (24, 11), (24, 11), (25, 10), (25, 10), (25, 9)]"
9,"(5, 12)","(25, 18)","[(5, 12), (5, 11), (5, 11), (6, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (14, 10), (15, 11), (16, 12), (17, 13), (18, 14), (19, 15), (20, 16), (21, 17), (21, 17), (22, 17), (23, 17), (24, 17), (24, 17), (25, 18)]"
10,"(5, 17)","(25, 23)","[(5, 17), (6, 18), (7, 19), (8, 20), (9, 21), (10, 22), (11, 23), (11, 23), (12, 23), (13, 23), (14, 23), (15, 23), (16, 23), (17, 23), (18, 23), (19, 23), (20, 23), (21, 23), (22, 23), (23, 23), (24, 23), (25, 23)]"
11,"(5, 6)","(25, 24)","[(5, 6), (6, 6), (7, 6), (7, 6), (8, 7), (8, 7), (8, 8), (8, 9), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (23, 24), (24, 24), (25, 24)]"
12,"(5, 16)","(25, 18)","[(5, 16), (6, 16), (7, 16), (7, 16), (8, 17), (9, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (21, 18), (22, 17), (22, 17), (23, 17), (24, 17), (24, 17), (25, 18)]"
13,"(5, 14)","(25, 14)","[(5, 14), (6, 15), (6, 15), (7, 15), (7, 15), (8, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (14, 14), (15, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (23, 13), (24, 13), (24, 13), (25, 14)]"
14,"(5, 13)","(25, 25)","[(5, 13), (6, 14), (7, 15), (7, 15), (7, 16), (7, 16), (8, 17), (9, 18), (10, 19), (11, 20), (12, 21), (12, 21), (12, 22), (12, 22), (13, 23), (14, 24), (15, 25), (15, 25), (16, 25), (17, 25), (18, 25), (19, 25), (20, 25), (21, 25), (22, 25), (23, 25), (24, 25), (25, 25)]"
15,"(5, 11)","(25, 22)","[(5, 11), (5, 11), (5, 11), (5, 12), (5, 12), (6, 13), (7, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (14, 14), (14, 14), (14, 15), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (21, 22), (22, 22), (23, 22), (24, 22), (25, 22)]"
16,"(5, 11)","(25, 10)","[(5, 11), (5, 11), (6, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (22, 10), (23, 10), (23, 10), (24, 11), (24, 11), (24, 11), (25, 10)]"
17,"(5, 20)","(25, 14)","[(5, 20), (6, 19), (7, 18), (8, 17), (9, 16), (10, 15), (11, 14), (11, 14), (12, 14), (13, 14), (14, 14), (14, 14), (15, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (23, 13), (24, 13), (24, 13), (25, 14)]"
18,"(5, 9)","(25, 6)","[(5, 9), (5, 9), (6, 9), (7, 9), (8, 9), (8, 9), (9, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (21, 10), (22, 9), (23, 8), (24, 7), (25, 6)]"
19,"(5, 12)","(25, 23)","[(5, 12), (5, 12), (5, 12), (6, 13), (7, 14), (7, 14), (7, 15), (7, 16), (7, 16), (8, 17), (9, 18), (10, 19), (11, 20), (12, 21), (12, 21), (12, 22), (12, 22), (13, 23), (14, 24), (14, 24), (15, 24), (16, 24), (17, 24), (18, 24), (19, 24), (20, 24), (21, 24), (22, 24), (23, 24), (24, 24), (24, 24), (25, 23)]"
20,"(5, 20)","(25, 15)","[(5, 20), (6, 19), (7, 18), (8, 17), (9, 16), (9, 16), (10, 16), (10, 16), (11, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (23, 17), (23, 17), (24, 16), (25, 15)]"
21,"(5, 23)","(25, 14)","[(5, 23), (6, 22), (7, 21), (8, 20), (9, 19), (10, 18), (11, 17), (12, 16), (13, 15), (14, 14), (15, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (23, 13), (24, 13), (24, 13), (25, 14)]"
22,"(5, 12)","(25, 13)","[(5, 12), (6, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (23, 13), (24, 13), (25, 13)]"
23,"(5, 20)","(25, 14)","[(5, 20), (6, 20), (7, 20), (8, 20), (9, 20), (10, 20), (11, 20), (12, 20), (13, 20), (14, 20), (15, 20), (16, 20), (17, 20), (18, 20), (19, 20), (19, 20), (20, 19), (21, 18), (22, 17), (23, 16), (24, 15), (25, 14)]"
24,"(5, 10)","(25, 14)","[(5, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (20, 10), (21, 11), (22, 12), (23, 13), (24, 14), (24, 14), (25, 14)]"
25,"(5, 5)","(25, 21)","[(5, 5), (6, 5), (7, 5), (8, 5), (8, 5), (9, 6), (10, 7), (11, 8), (12, 9), (13, 10), (14, 11), (15, 12), (16, 13), (17, 14), (18, 15), (19, 16), (20, 17), (21, 18), (21, 18), (21, 19), (21, 19), (22, 20), (23, 21), (23, 21), (24, 21), (25, 21)]"
26,"(5, 12)","(25, 15)","[(5, 12), (5, 12), (6, 13), (7, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (14, 14), (15, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13), (20, 13), (21, 13), (22, 13), (23, 13), (23, 13), (24, 14), (25, 15)]"
